"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out25/dstat_out_upload.csv -D vdb",,,,"Date:","19 Apr 2024 06:07:08 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,19-04 06:07:08
0,0.999,0,3.997,19-04 06:07:09
0,0,0,0,19-04 06:07:10
0,0,0,0,19-04 06:07:11
0,0,0,0,19-04 06:07:12
0,7.941,0,218.386,19-04 06:07:13
0,254.897,0,237628.815,19-04 06:07:14
0,0,0,0,19-04 06:07:15
0,0,0,0,19-04 06:07:16
0,19.000,0,9575.911,19-04 06:07:17
0,394.012,0,399320.069,19-04 06:07:18
0,441.995,0,377519.392,19-04 06:07:19
0,0,0,0,19-04 06:07:20
0,0,0,0,19-04 06:07:21
0,0,0,0,19-04 06:07:22
0,4.000,0,48.000,19-04 06:07:23
0,120.005,0,117729.132,19-04 06:07:24
0,514.985,0,525332.445,19-04 06:07:25
0,0,0,0,19-04 06:07:26
0,0,0,0,19-04 06:07:27
0,86.052,0,85043.005,19-04 06:07:28
0,480.004,0,487436.282,19-04 06:07:29
0,164.900,0,164851.882,19-04 06:07:30
0,0,0,0,19-04 06:07:31
0,0,0,0,19-04 06:07:32
0,199.004,0,199684.459,19-04 06:07:33
0,480.003,0,488451.428,19-04 06:07:34
0,392.966,0,391298.237,19-04 06:07:35
0,0,0,0,19-04 06:07:36
0,0,0,0,19-04 06:07:37
0,28.983,0,22534.788,19-04 06:07:38
0,449.285,0,458026.318,19-04 06:07:39
0,82.998,0,83974.340,19-04 06:07:40
0,138.913,0,141223.820,19-04 06:07:41
0,0,0,0,19-04 06:07:42
0,13.991,0,131.916,19-04 06:07:43
0,0,0,0,19-04 06:07:44
0,137.087,0,139352.467,19-04 06:07:45
0,479.725,0,488168.077,19-04 06:07:46
0,275.986,0,282609.378,19-04 06:07:47
0,8.000,0,60.000,19-04 06:07:48
0,0,0,0,19-04 06:07:49
0,55.000,0,53247.780,19-04 06:07:50
0,400.244,0,408824.957,19-04 06:07:51
0,465.712,0,475865.444,19-04 06:07:52
0,6.000,0,60.003,19-04 06:07:53
0,6.000,0,75.998,19-04 06:07:54
0,0,0,0,19-04 06:07:55
0,391.012,0,394252.204,19-04 06:07:56
0,75.041,0,76842.324,19-04 06:07:57
0,95.002,0,97282.538,19-04 06:07:58
0,317.806,0,320376.460,19-04 06:07:59
0,0,0,0,19-04 06:08:00
0,242.859,0,246640.867,19-04 06:08:01
0,497.987,0,508914.242,19-04 06:08:02
0,31.001,0,21560.363,19-04 06:08:03
0,566.012,0,577548.676,19-04 06:08:04
0,121.071,0,120958.616,19-04 06:08:05
0,0,0,0,19-04 06:08:06
0,0,0,0,19-04 06:08:07
0,4.000,0,48.001,19-04 06:08:08
0,62.002,0,60418.196,19-04 06:08:09
0,386.990,0,394230.101,19-04 06:08:10
0,0,0,0,19-04 06:08:11
1.000,144.007,4.000,147463.161,19-04 06:08:12
0,254.001,0,250257.050,19-04 06:08:13
0,481.007,0,482798.926,19-04 06:08:14
0,376.216,0,378313.266,19-04 06:08:15
0,0,0,0,19-04 06:08:16
0,0,0,0,19-04 06:08:17
0,4.000,0,63.998,19-04 06:08:18
0,265.175,0,270514.212,19-04 06:08:19
0,457.716,0,467678.080,19-04 06:08:20
0,0,0,0,19-04 06:08:21
0,0,0,0,19-04 06:08:22
0,55.003,0,54274.876,19-04 06:08:23
0,507.005,0,514152.728,19-04 06:08:24
0,130.991,0,132090.770,19-04 06:08:25
0,0,0,0,19-04 06:08:26
0,0,0,0,19-04 06:08:27
0,249.001,0,243180.633,19-04 06:08:28
0,513.012,0,512588.139,19-04 06:08:29
0,228.993,0,226357.126,19-04 06:08:30
0,23.016,0,22724.038,19-04 06:08:31
0,491.686,0,494140.799,19-04 06:08:32
