"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out9/dstat_out_wf.csv -D vdb",,,,"Date:","20 Apr 2024 13:38:12 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,20-04 13:38:12
0,0,0,0,20-04 13:38:13
73.000,0,5952.011,0,20-04 13:38:14
175.002,0,6168.060,0,20-04 13:38:15
0,9.000,0,43.999,20-04 13:38:16
0,0,0,0,20-04 13:38:17
0,0,0,0,20-04 13:38:18
0,9.000,0,556.004,20-04 13:38:19
0,0,0,0,20-04 13:38:20
0,0,0,0,20-04 13:38:21
0,0,0,0,20-04 13:38:22
0,0,0,0,20-04 13:38:23
0,19.004,0,208.043,20-04 13:38:24
0,0,0,0,20-04 13:38:25
0,0,0,0,20-04 13:38:26
0,0,0,0,20-04 13:38:27
0,0,0,0,20-04 13:38:28
0,1.000,0,4.000,20-04 13:38:29
0,0,0,0,20-04 13:38:30
0,0,0,0,20-04 13:38:31
0,0,0,0,20-04 13:38:32
0,0,0,0,20-04 13:38:33
0,0,0,0,20-04 13:38:34
0,0,0,0,20-04 13:38:35
0,0,0,0,20-04 13:38:36
0,0,0,0,20-04 13:38:37
0,0,0,0,20-04 13:38:38
0,0,0,0,20-04 13:38:39
0,0,0,0,20-04 13:38:40
0,0,0,0,20-04 13:38:41
0,1.007,0,4.027,20-04 13:38:42
0,2.000,0,11.999,20-04 13:38:43
0,0,0,0,20-04 13:38:44
0,0,0,0,20-04 13:38:45
0,0,0,0,20-04 13:38:46
0,0,0,0,20-04 13:38:47
0,1.000,0,4.000,20-04 13:38:48
0,0,0,0,20-04 13:38:49
0,0,0,0,20-04 13:38:50
0,0,0,0,20-04 13:38:51
0,0,0,0,20-04 13:38:52
0,0,0,0,20-04 13:38:53
0,0,0,0,20-04 13:38:54
175.997,0,21735.613,0,20-04 13:38:55
746.985,0,95614.130,0,20-04 13:38:56
923.178,0,117910.674,0,20-04 13:38:57
139.998,0,17919.692,0,20-04 13:38:58
0,0,0,0,20-04 13:38:59
0,5.000,0,176.004,20-04 13:39:00
0,0,0,0,20-04 13:39:01
0,0,0,0,20-04 13:39:02
0,0,0,0,20-04 13:39:03
0,0,0,0,20-04 13:39:04
0,11.000,0,240.001,20-04 13:39:05
0,0,0,0,20-04 13:39:06
0,0,0,0,20-04 13:39:07
0,16.999,0,15683.015,20-04 13:39:08
0,0,0,0,20-04 13:39:09
0,2.000,0,120.001,20-04 13:39:10
38.000,0,4863.954,0,20-04 13:39:11
504.961,0,64635.069,0,20-04 13:39:12
464.019,0,59138.393,0,20-04 13:39:13
247.015,362.022,31617.890,354057.168,20-04 13:39:14
249.994,402.990,31999.222,392326.459,20-04 13:39:15
251.986,4.000,32254.186,115.993,20-04 13:39:16
250.008,0,32001.071,0,20-04 13:39:17
0,0,0,0,20-04 13:39:18
0,0,0,0,20-04 13:39:19
0,2.000,0,127.998,20-04 13:39:20
0,0,0,0,20-04 13:39:21
0,0,0,0,20-04 13:39:22
0,0,0,0,20-04 13:39:23
0,0,0,0,20-04 13:39:24
0,2.000,0,112.006,20-04 13:39:25
0,0,0,0,20-04 13:39:26
249.987,0,31998.376,0,20-04 13:39:27
250.010,0,32001.340,0,20-04 13:39:28
247.989,0,31742.634,0,20-04 13:39:29
660.009,2.000,84225.194,116.002,20-04 13:39:30
96.004,360.016,11792.523,195896.682,20-04 13:39:31
167.986,552.953,21006.216,301770.366,20-04 13:39:32
86.003,556.021,10760.403,281638.540,20-04 13:39:33
1.000,258.972,4.000,127034.125,20-04 13:39:34
