"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out4/dstat_out_upload.csv -D vdb",,,,"Date:","18 Apr 2024 10:46:52 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,18-04 10:46:52
0,1.998,0,7.994,18-04 10:46:53
0,0,0,0,18-04 10:46:54
0,0,0,0,18-04 10:46:55
0,0,0,0,18-04 10:46:56
0,27.007,0,2628.693,18-04 10:46:57
0,114.003,0,116739.215,18-04 10:46:58
0,0,0,0,18-04 10:46:59
0,187.007,0,105260.091,18-04 10:47:00
0,211.983,0,215954.663,18-04 10:47:01
0,9.000,0,88.001,18-04 10:47:02
3.000,449.993,12.000,445412.664,18-04 10:47:03
0,49.002,0,50197.600,18-04 10:47:04
0,0,0,0,18-04 10:47:05
1.000,186.002,4.000,188417.944,18-04 10:47:06
0,6.000,0,59.996,18-04 10:47:07
0,0,0,0,18-04 10:47:08
0,0,0,0,18-04 10:47:09
0,131.016,0,122243.317,18-04 10:47:10
1.000,365.005,4.000,351889.066,18-04 10:47:11
0,296.979,0,286747.661,18-04 10:47:12
3.000,62.003,12.001,53330.745,18-04 10:47:13
0,474.980,0,484155.278,18-04 10:47:14
0,147.149,0,150776.390,18-04 10:47:15
0,30.970,0,28643.874,18-04 10:47:16
0,71.996,0,65584.012,18-04 10:47:17
0,0,0,0,18-04 10:47:18
2.000,309.017,8.000,301072.222,18-04 10:47:19
0,514.008,0,524295.953,18-04 10:47:20
0,0,0,0,18-04 10:47:21
0,3.000,0,52.001,18-04 10:47:22
0,63.064,0,58427.564,18-04 10:47:23
0.999,482.525,3.996,488991.044,18-04 10:47:24
0,448.969,0,458720.321,18-04 10:47:25
0,0,0,0,18-04 10:47:26
0,6.000,0,63.998,18-04 10:47:27
0,0,0,0,18-04 10:47:28
1.000,257.019,4.000,258066.820,18-04 10:47:29
0,509.982,0,521197.724,18-04 10:47:30
0,0,0,0,18-04 10:47:31
0,6.000,0,52.002,18-04 10:47:32
0,13.999,0,227.985,18-04 10:47:33
0,455.039,0,460839.979,18-04 10:47:34
0,142.987,0,145394.814,18-04 10:47:35
0,0,0,0,18-04 10:47:36
0,124.005,0,124989.099,18-04 10:47:37
0,159.996,0,161791.752,18-04 10:47:38
2.000,386.006,8.000,392197.824,18-04 10:47:39
0,365.981,0,372717.054,18-04 10:47:40
0,0,0,0,18-04 10:47:41
0,4.004,0,64.065,18-04 10:47:42
0.999,429.582,3.996,436814.773,18-04 10:47:43
0,395.402,0,398809.067,18-04 10:47:44
0,115.883,0,114572.073,18-04 10:47:45
0,0,0,0,18-04 10:47:46
0,4.000,0,59.999,18-04 10:47:47
0,0,0,0,18-04 10:47:48
0,22.021,0,17424.896,18-04 10:47:49
0,319.683,0,326332.100,18-04 10:47:50
1.000,62.001,4.000,60416.757,18-04 10:47:51
0,315.996,0,308335.827,18-04 10:47:52
0,62.002,0,62466.150,18-04 10:47:53
0,451.986,0,457713.523,18-04 10:47:54
1.001,326.324,4.004,331080.415,18-04 10:47:55
0,489.512,0,498191.794,18-04 10:47:56
0,30.000,0,21580.212,18-04 10:47:57
0,0,0,0,18-04 10:47:58
0,88.998,0,86014.249,18-04 10:47:59
0,0,0,0,18-04 10:48:00
0,0,0,0,18-04 10:48:01
0,94.089,0,93304.409,18-04 10:48:02
0,178.827,0,168848.392,18-04 10:48:03
0,365.969,0,373736.997,18-04 10:48:04
0,60.562,0,62015.253,18-04 10:48:05
0,195.993,0,199672.891,18-04 10:48:06
0,468.543,0,471676.317,18-04 10:48:07
0,6.000,0,64.000,18-04 10:48:08
0,195.005,0,197636.869,18-04 10:48:09
0,499.484,0,500200.571,18-04 10:48:10
0,269.718,0,255728.371,18-04 10:48:11
0,6.000,0,56.002,18-04 10:48:12
413.011,0,54253.418,0,18-04 10:48:13
1071.930,0,138338.994,0,18-04 10:48:14
1094.044,0,140037.661,0,18-04 10:48:15
730.994,219.998,93567.184,217634.101,18-04 10:48:16
1252.026,174.004,160259.293,142962.938,18-04 10:48:17
1060.985,98.999,135238.091,91334.711,18-04 10:48:18
770.973,433.985,95980.632,421673.201,18-04 10:48:19
1356.398,43.044,162979.936,44077.418,18-04 10:48:20
630.399,229.781,80283.452,216145.910,18-04 10:48:21
330.002,434.003,37668.263,433359.031,18-04 10:48:22
1214.171,52.050,152503.054,50600.793,18-04 10:48:23
861.155,421.586,109029.030,425850.192,18-04 10:48:24
1198.007,0,153064.839,0,18-04 10:48:25
1382.971,0,176316.283,0,18-04 10:48:26
1390.398,4.004,176173.182,64.064,18-04 10:48:27
898.105,9.990,113083.263,91.908,18-04 10:48:28
0,179.408,0,178355.449,18-04 10:48:29
13.043,475.567,545.798,461938.100,18-04 10:48:30
116.006,497.024,12376.591,484759.153,18-04 10:48:31
405.750,268.174,41201.097,245830.820,18-04 10:48:32
2.006,500.553,232.722,490883.477,18-04 10:48:33
12.999,338.985,859.962,333169.173,18-04 10:48:34
495.978,115.995,54565.609,106491.333,18-04 10:48:35
167.000,304.000,19216.027,291196.414,18-04 10:48:36
0,416.020,0,404503.688,18-04 10:48:37
48.047,395.383,5289.122,381181.160,18-04 10:48:38
541.014,0,64941.673,0,18-04 10:48:39
38.961,163.834,4719.224,153176.965,18-04 10:48:40
2.000,608.015,256.006,576410.253,18-04 10:48:41
170.163,337.324,19434.661,334208.897,18-04 10:48:42
301.999,12.000,34047.892,9219.971,18-04 10:48:43
192.893,22.987,22411.562,19753.038,18-04 10:48:44
2.999,381.829,271.878,385395.568,18-04 10:48:45
156.153,428.419,17573.206,417220.506,18-04 10:48:46
82.921,102.902,10278.205,98270.352,18-04 10:48:47
14.999,527.968,1903.885,510945.158,18-04 10:48:48
29.001,318.006,3588.073,311338.292,18-04 10:48:49
14.999,192.992,1243.946,190803.681,18-04 10:48:50
503.023,488.022,64082.948,476857.939,18-04 10:48:51
1065.072,113.114,136329.176,110791.480,18-04 10:48:52
850.187,245.765,108823.936,237341.040,18-04 10:48:53
1015.928,49.996,130038.762,41129.078,18-04 10:48:54
638.027,178.008,81667.459,171735.273,18-04 10:48:55
606.611,384.387,77646.259,366205.094,18-04 10:48:56
