"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out23/dstat_out_wf.csv -D vdb",,,,"Date:","21 Apr 2024 01:29:01 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,21-04 01:29:01
1.998,0,7.992,0,21-04 01:29:02
230.999,0,11315.938,0,21-04 01:29:03
56.001,0,2128.029,0,21-04 01:29:04
0,2.000,0,211.986,21-04 01:29:05
0,0,0,0,21-04 01:29:06
0,0,0,0,21-04 01:29:07
0,0,0,0,21-04 01:29:08
0,0,0,0,21-04 01:29:09
0,0,0,0,21-04 01:29:10
0,2.000,0,12.001,21-04 01:29:11
0,0,0,0,21-04 01:29:12
0,0,0,0,21-04 01:29:13
0,0,0,0,21-04 01:29:14
0,0,0,0,21-04 01:29:15
0,0,0,0,21-04 01:29:16
0,0,0,0,21-04 01:29:17
0,2.000,0,12.000,21-04 01:29:18
0,0,0,0,21-04 01:29:19
0,0,0,0,21-04 01:29:20
0,0,0,0,21-04 01:29:21
0,0,0,0,21-04 01:29:22
0,0,0,0,21-04 01:29:23
0,0,0,0,21-04 01:29:24
0,0,0,0,21-04 01:29:25
0,0,0,0,21-04 01:29:26
0,0,0,0,21-04 01:29:27
0,0,0,0,21-04 01:29:28
0,0,0,0,21-04 01:29:29
0,23.000,0,196.000,21-04 01:29:30
0,2.000,0,12.000,21-04 01:29:31
0,0,0,0,21-04 01:29:32
0,0,0,0,21-04 01:29:33
0,0,0,0,21-04 01:29:34
0,0,0,0,21-04 01:29:35
0,0,0,0,21-04 01:29:36
0,7.995,0,407.746,21-04 01:29:37
0,0,0,0,21-04 01:29:38
0,0,0,0,21-04 01:29:39
0,0,0,0,21-04 01:29:40
0,0,0,0,21-04 01:29:41
411.224,2.001,52092.404,100.055,21-04 01:29:42
763.040,0,97669.145,0,21-04 01:29:43
790.026,0,101123.301,0,21-04 01:29:44
18.001,0,2304.073,0,21-04 01:29:45
0,0,0,0,21-04 01:29:46
0,5.000,0,156.002,21-04 01:29:47
0,0,0,0,21-04 01:29:48
0,0,0,0,21-04 01:29:49
0,0,0,0,21-04 01:29:50
0,0,0,0,21-04 01:29:51
0,2.000,0,91.998,21-04 01:29:52
0,0,0,0,21-04 01:29:53
0,0,0,0,21-04 01:29:54
0,17.000,0,15683.716,21-04 01:29:55
0,0,0,0,21-04 01:29:56
0,2.000,0,99.996,21-04 01:29:57
250.008,0,32001.068,0,21-04 01:29:58
21.000,0,2688.010,0,21-04 01:29:59
228.979,42.996,29309.282,42352.072,21-04 01:30:00
643.053,356.029,82182.723,348172.481,21-04 01:30:01
612.986,320.993,78334.268,301445.334,21-04 01:30:02
249.995,60.999,31999.387,59366.863,21-04 01:30:03
0,0,0,0,21-04 01:30:04
0,0,0,0,21-04 01:30:05
0,0,0,0,21-04 01:30:06
0,2.000,0,131.989,21-04 01:30:07
0,0,0,0,21-04 01:30:08
0,0,0,0,21-04 01:30:09
0,0,0,0,21-04 01:30:10
0,0,0,0,21-04 01:30:11
0,2.000,0,116.007,21-04 01:30:12
0,0,0,0,21-04 01:30:13
0,0,0,0,21-04 01:30:14
0,0,0,0,21-04 01:30:15
449.985,0,57598.055,0,21-04 01:30:16
298.005,2.000,38144.621,116.002,21-04 01:30:17
381.974,0,48892.672,0,21-04 01:30:18
616.049,77.006,78854.254,49831.952,21-04 01:30:19
0,101.000,0,59615.712,21-04 01:30:20
0,211.961,0,121177.490,21-04 01:30:21
251.043,93.016,32005.529,50100.655,21-04 01:30:22
0,3.000,0,2835.605,21-04 01:30:23
0,548.111,0,320145.008,21-04 01:30:24
0,672.802,0,382159.721,21-04 01:30:25
0,236.062,0,129470.274,21-04 01:30:26
0,2.000,0,203.977,21-04 01:30:27
0,0,0,0,21-04 01:30:28
0,0,0,0,21-04 01:30:29
0,0,0,0,21-04 01:30:30
15.000,0,1792.041,0,21-04 01:30:31
235.973,2.000,30204.553,115.987,21-04 01:30:32
248.027,6.001,31747.473,132.014,21-04 01:30:33
403.981,0,51709.609,0,21-04 01:30:34
150.000,0,19200.058,0,21-04 01:30:35
444.007,0,56832.921,0,21-04 01:30:36
0,2.000,0,116.001,21-04 01:30:37
167.000,0,21375.956,0,21-04 01:30:38
83.000,0,10623.956,0,21-04 01:30:39
0,20.000,0,14660.231,21-04 01:30:40
0,159.002,0,114665.538,21-04 01:30:41
0,515.020,0,358145.868,21-04 01:30:42
0,647.974,0,432722.831,21-04 01:30:43
250.001,11.000,32000.104,7820.025,21-04 01:30:44
0,0,0,0,21-04 01:30:45
0,0,0,0,21-04 01:30:46
0,2.000,0,188.000,21-04 01:30:47
248.001,0,31744.074,0,21-04 01:30:48
0,0,0,0,21-04 01:30:49
249.997,0,31999.611,0,21-04 01:30:50
0,0,0,0,21-04 01:30:51
441.003,2.000,56192.404,116.001,21-04 01:30:52
274.006,0,35072.777,0,21-04 01:30:53
285.006,0,36480.730,0,21-04 01:30:54
250.001,0,32000.108,0,21-04 01:30:55
0,0,0,0,21-04 01:30:56
0,2.000,0,112.000,21-04 01:30:57
0,146.000,0,81228.234,21-04 01:30:58
0,227.998,0,131947.000,21-04 01:30:59
2.000,630.002,8.000,376817.147,21-04 01:31:00
0,520.004,0,349678.943,21-04 01:31:01
247.997,2.000,31743.582,303.996,21-04 01:31:02
249.994,0,31999.234,0,21-04 01:31:03
0,0,0,0,21-04 01:31:04
250.001,0,32000.068,0,21-04 01:31:05
0,0,0,0,21-04 01:31:06
0,2.000,0,116.000,21-04 01:31:07
0,10.000,0,227.998,21-04 01:31:08
497.838,0,63723.271,0,21-04 01:31:09
250.082,0,32010.518,0,21-04 01:31:10
0,0,0,0,21-04 01:31:11
0,2.000,0,116.000,21-04 01:31:12
0,0,0,0,21-04 01:31:13
250.988,0,31998.486,0,21-04 01:31:14
21.000,0,2687.990,0,21-04 01:31:15
479.017,100.004,61058.156,69450.453,21-04 01:31:16
126.000,91.000,16128.043,64700.172,21-04 01:31:17
124.005,549.022,15872.622,381202.933,21-04 01:31:18
0,604.008,0,392125.299,21-04 01:31:19
0,90.995,0,59065.029,21-04 01:31:20
64.000,0,8192.030,0,21-04 01:31:21
186.000,2.000,23807.995,256.000,21-04 01:31:22
248.003,14.000,31744.402,176.002,21-04 01:31:23
207.998,0,26623.776,0,21-04 01:31:24
42.000,0,5376.038,0,21-04 01:31:25
0,0,0,0,21-04 01:31:26
0,2.000,0,116.000,21-04 01:31:27
249.999,0,31999.878,0,21-04 01:31:28
233.989,0,29950.645,0,21-04 01:31:29
264.009,0,33793.118,0,21-04 01:31:30
83.001,0,10624.154,0,21-04 01:31:31
166.997,35.999,21375.664,23915.625,21-04 01:31:32
43.001,117.002,5504.101,79869.467,21-04 01:31:33
208.999,93.999,26495.849,63539.638,21-04 01:31:34
0,61.002,0,43985.697,21-04 01:31:35
166.989,609.959,21374.547,431970.636,21-04 01:31:36
331.004,572.008,42368.569,391305.256,21-04 01:31:37
0,15.000,0,160.002,21-04 01:31:38
0,0,0,0,21-04 01:31:39
125.999,0,16127.825,0,21-04 01:31:40
194.001,0,24832.144,0,21-04 01:31:41
