"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out10/dstat_out_wf.csv -D vdb",,,,"Date:","18 Apr 2024 16:25:20 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,18-04 16:25:20
134.860,20.978,6141.619,159.834,18-04 16:25:21
162.099,0,5279.239,0,18-04 16:25:22
0,0,0,0,18-04 16:25:23
1.000,0,36.000,0,18-04 16:25:24
0,0,0,0,18-04 16:25:25
0,34.979,0,199.881,18-04 16:25:26
0,0,0,0,18-04 16:25:27
0,0,0,0,18-04 16:25:28
0,0,0,0,18-04 16:25:29
0,0,0,0,18-04 16:25:30
0,0,0,0,18-04 16:25:31
0,12.001,0,80.005,18-04 16:25:32
0,0,0,0,18-04 16:25:33
0,0,0,0,18-04 16:25:34
0,0,0,0,18-04 16:25:35
0,0,0,0,18-04 16:25:36
0,2.998,0,11.992,18-04 16:25:37
0,0,0,0,18-04 16:25:38
0,0,0,0,18-04 16:25:39
0,0,0,0,18-04 16:25:40
0,0,0,0,18-04 16:25:41
0,1.001,0,4.003,18-04 16:25:42
0,0,0,0,18-04 16:25:43
0,0,0,0,18-04 16:25:44
0,0,0,0,18-04 16:25:45
0,0,0,0,18-04 16:25:46
0,0,0,0,18-04 16:25:47
0,0,0,0,18-04 16:25:48
0,3.997,0,11.992,18-04 16:25:49
0,0,0,0,18-04 16:25:50
0,0,0,0,18-04 16:25:51
0,0,0,0,18-04 16:25:52
0,0,0,0,18-04 16:25:53
0,0,0,0,18-04 16:25:54
0,12.000,0,411.999,18-04 16:25:55
0,0,0,0,18-04 16:25:56
0,0,0,0,18-04 16:25:57
0,0,0,0,18-04 16:25:58
0,0,0,0,18-04 16:25:59
0,3.002,0,40.024,18-04 16:26:00
0,0,0,0,18-04 16:26:01
0,0,0,0,18-04 16:26:02
196.004,0,22936.513,0,18-04 16:26:03
488.018,0,62194.319,0,18-04 16:26:04
686.141,4.001,85749.647,20.004,18-04 16:26:05
247.856,0,29738.766,0,18-04 16:26:06
0,0,0,0,18-04 16:26:07
0,5.000,0,168.001,18-04 16:26:08
0,0,0,0,18-04 16:26:09
0,0,0,0,18-04 16:26:10
0,0,0,0,18-04 16:26:11
0,0,0,0,18-04 16:26:12
0,0,0,0,18-04 16:26:13
0,9.000,0,64.003,18-04 16:26:14
0,0,0,0,18-04 16:26:15
0,0,0,0,18-04 16:26:16
0,3.000,0,115.981,18-04 16:26:17
0,0,0,0,18-04 16:26:18
0,0,0,0,18-04 16:26:19
625.993,0,67251.277,0,18-04 16:26:20
190.987,0,20354.641,0,18-04 16:26:21
26.002,7.001,3328.263,160.013,18-04 16:26:22
251.998,0,32255.722,0,18-04 16:26:23
408.002,0,49460.270,0,18-04 16:26:24
2.000,41.997,7.999,38197.231,18-04 16:26:25
224.009,292.011,24448.949,285459.082,18-04 16:26:26
0,6.000,0,139.994,18-04 16:26:27
0,0,0,0,18-04 16:26:28
0,0,0,0,18-04 16:26:29
2.000,8.000,8.000,7912.135,18-04 16:26:30
1.000,374.010,4.000,364461.599,18-04 16:26:31
0,332.975,0,317860.501,18-04 16:26:32
0,0,0,0,18-04 16:26:33
0,0,0,0,18-04 16:26:34
0,0,0,0,18-04 16:26:35
88.003,0,10112.339,0,18-04 16:26:36
197.998,20.000,24671.733,115.999,18-04 16:26:37
176.994,16.999,22655.211,107.996,18-04 16:26:38
202.010,0,25473.273,0,18-04 16:26:39
