"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out12/dstat_out_wf.csv -D vdb",,,,"Date:","09 May 2024 20:31:36 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,09-05 20:31:36
0,4.995,0,27.973,09-05 20:31:37
112.997,0,9995.729,0,09-05 20:31:38
122.992,0,10731.294,0,09-05 20:31:39
220.014,0,28093.733,0,09-05 20:31:40
0,0,0,0,09-05 20:31:41
10.999,8.999,11502.849,131.987,09-05 20:31:42
479.556,16.019,61210.974,272.316,09-05 20:31:43
462.001,0,59136.160,0,09-05 20:31:44
199.000,0,25471.952,0,09-05 20:31:45
142.008,0,18176.997,0,09-05 20:31:46
96.996,0,12415.512,0,09-05 20:31:47
130.005,3.000,16640.616,48.002,09-05 20:31:48
198.996,0,25471.471,0,09-05 20:31:49
199.000,0,25472.012,0,09-05 20:31:50
169.985,0,21758.069,0,09-05 20:31:51
114.008,0,14592.998,0,09-05 20:31:52
142.002,0,18176.211,0,09-05 20:31:53
170.993,0,21887.115,0,09-05 20:31:54
199.009,0,25473.126,0,09-05 20:31:55
169.986,0,21758.259,0,09-05 20:31:56
85.004,0,10880.568,0,09-05 20:31:57
115.989,0,14846.568,0,09-05 20:31:58
169.020,0,21634.524,0,09-05 20:31:59
170.004,20.000,21760.474,184.004,09-05 20:32:00
113.995,0,14591.342,0,09-05 20:32:01
113.003,0,14464.409,0,09-05 20:32:02
198.803,0,25446.779,0,09-05 20:32:03
171.173,0,21910.134,0,09-05 20:32:04
164.993,0,21119.132,0,09-05 20:32:05
204.003,0,26112.416,0,09-05 20:32:06
113.996,0,14591.427,0,09-05 20:32:07
170.011,3.000,21761.417,12.001,09-05 20:32:08
198.998,0,25471.713,0,09-05 20:32:09
197.000,0,25216.008,0,09-05 20:32:10
116.001,0,14848.093,0,09-05 20:32:11
141.987,0,18174.345,0,09-05 20:32:12
171.014,1.000,21889.760,4.000,09-05 20:32:13
169.986,0,21758.147,0,09-05 20:32:14
114.010,0,14593.269,0,09-05 20:32:15
198.973,0,25468.593,0,09-05 20:32:16
171.022,0,21890.839,0,09-05 20:32:17
176.991,0,22654.900,0,09-05 20:32:18
108.006,0,13824.831,0,09-05 20:32:19
171.994,0,21891.229,0,09-05 20:32:20
199.985,0,25598.105,0,09-05 20:32:21
142.017,0,18178.157,0,09-05 20:32:22
165.975,0,21244.756,0,09-05 20:32:23
167.016,0,21378.001,0,09-05 20:32:24
179.987,4.000,23038.361,11.999,09-05 20:32:25
142.014,0,18177.745,0,09-05 20:32:26
170.993,0,21887.144,0,09-05 20:32:27
195.012,0,24961.532,0,09-05 20:32:28
118.999,0,15231.853,0,09-05 20:32:29
227.985,0,29182.078,0,09-05 20:32:30
142.012,0,18177.592,0,09-05 20:32:31
125.990,0,16126.772,0,09-05 20:32:32
192.011,0,24577.468,0,09-05 20:32:33
166.980,0,21373.487,0,09-05 20:32:34
209.015,0,26753.904,0,09-05 20:32:35
160.997,0,20607.660,0,09-05 20:32:36
143.008,0,18305.013,0,09-05 20:32:37
