"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out19/dstat_out_wf.csv -D vdb",,,,"Date:","06 May 2024 23:04:57 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,06-05 23:04:57
0,0,0,0,06-05 23:04:58
68.000,15.000,2239.992,68.000,06-05 23:04:59
2.000,0,7.999,0,06-05 23:05:00
24.015,0,1464.934,0,06-05 23:05:01
665.566,0,38323.030,0,06-05 23:05:02
536.951,0,34032.918,0,06-05 23:05:03
648.055,7.001,49276.215,424.036,06-05 23:05:04
641.022,0,74274.493,0,06-05 23:05:05
273.133,0,65603.996,0,06-05 23:05:06
322.067,0,40952.515,0,06-05 23:05:07
587.001,0,75136.192,0,06-05 23:05:08
201.007,15.001,25728.862,168.006,06-05 23:05:09
142.000,0,18175.990,0,06-05 23:05:10
131.996,0,16895.472,0,06-05 23:05:11
180.998,0,23167.735,0,06-05 23:05:12
145.007,0,18560.944,0,06-05 23:05:13
196.000,7.000,25087.944,32.000,06-05 23:05:14
142.000,2.000,18175.946,12.000,06-05 23:05:15
199.000,0,25472.008,0,06-05 23:05:16
198.999,0,25471.892,0,06-05 23:05:17
148.004,0,18944.472,0,06-05 23:05:18
192.939,0,24696.236,0,06-05 23:05:19
170.043,1.000,21765.487,4.001,06-05 23:05:20
228.006,0,29184.780,0,06-05 23:05:21
170.003,0,21760.392,0,06-05 23:05:22
141.992,0,18175.012,0,06-05 23:05:23
142.005,0,18176.688,0,06-05 23:05:24
214.000,0,27391.997,0,06-05 23:05:25
127.000,0,16255.969,0,06-05 23:05:26
171.993,0,21887.148,0,06-05 23:05:27
170.008,0,21761.062,0,06-05 23:05:28
198.997,0,25471.673,0,06-05 23:05:29
164.004,1.000,20992.538,4.000,06-05 23:05:30
119.993,2.000,15359.106,11.999,06-05 23:05:31
171.007,0,21888.891,0,06-05 23:05:32
179.002,0,22912.315,0,06-05 23:05:33
189.981,0,24317.614,0,06-05 23:05:34
143.007,0,18304.903,0,06-05 23:05:35
113.000,1.000,14464.012,4.000,06-05 23:05:36
204.008,0,26112.997,0,06-05 23:05:37
195.001,0,24960.084,0,06-05 23:05:38
144.999,0,18559.838,0,06-05 23:05:39
197.002,0,25216.314,0,06-05 23:05:40
148.993,0,19071.144,0,06-05 23:05:41
193.011,0,24705.352,0,06-05 23:05:42
169.989,0,21758.585,0,06-05 23:05:43
200.009,0,25601.146,0,06-05 23:05:44
171.001,0,21888.093,0,06-05 23:05:45
142.008,1.000,18177.018,4.000,06-05 23:05:46
170.939,1.999,21880.217,11.996,06-05 23:05:47
177.055,0,22663.006,0,06-05 23:05:48
193.918,0,24821.516,0,06-05 23:05:49
199.022,0,25474.786,0,06-05 23:05:50
171.013,0,21889.604,0,06-05 23:05:51
147.038,0,18820.891,0,06-05 23:05:52
138.990,1.000,17790.768,4.000,06-05 23:05:53
142.000,0,18176.046,0,06-05 23:05:54
205.009,2.000,26241.160,12.001,06-05 23:05:55
153.001,0,19584.099,0,06-05 23:05:56
158.000,0,20224.002,0,06-05 23:05:57
203.001,0,25984.178,0,06-05 23:05:58
191.991,0,24574.894,0,06-05 23:05:59
228.009,2.000,29185.162,8.000,06-05 23:06:00
86.998,0,11135.799,0,06-05 23:06:01
169.995,0,21759.340,0,06-05 23:06:02
199.001,2.000,25472.158,16.000,06-05 23:06:03
171.007,0,21888.836,0,06-05 23:06:04
159.994,0,20479.231,0,06-05 23:06:05
182.001,0,23296.127,0,06-05 23:06:06
171.006,0,21888.832,0,06-05 23:06:07
170.999,2.000,21887.892,8.000,06-05 23:06:08
170.999,0,21887.866,0,06-05 23:06:09
141.998,0,18175.773,0,06-05 23:06:10
200.011,0,25601.449,0,06-05 23:06:11
142.993,0,18303.106,0,06-05 23:06:12
226.667,0,29013.429,0,06-05 23:06:13
114.113,0,14606.471,0,06-05 23:06:14
200.097,0,25612.368,0,06-05 23:06:15
171.003,0,21888.341,0,06-05 23:06:16
227.965,0,29179.489,0,06-05 23:06:17
168.024,0,21507.029,0,06-05 23:06:18
144.961,0,18554.985,0,06-05 23:06:19
143.040,3.001,18309.061,16.004,06-05 23:06:20
170.997,0,21887.659,0,06-05 23:06:21
159.005,0,20352.613,0,06-05 23:06:22
211.000,0,27008.055,0,06-05 23:06:23
198.998,0,25471.735,0,06-05 23:06:24
86.002,1.000,11008.251,4.000,06-05 23:06:25
198.998,0,25471.681,0,06-05 23:06:26
143.002,0,18304.236,0,06-05 23:06:27
170.997,0,21887.671,0,06-05 23:06:28
170.949,0,21881.479,0,06-05 23:06:29
198.988,0,25470.520,0,06-05 23:06:30
171.005,0,21888.653,0,06-05 23:06:31
170.980,0,21885.422,0,06-05 23:06:32
148.063,0,18952.063,0,06-05 23:06:33
193.998,0,24831.758,0,06-05 23:06:34
164.999,0,21119.881,0,06-05 23:06:35
205.000,1.000,26240.059,4.000,06-05 23:06:36
200.002,2.000,25600.245,12.000,06-05 23:06:37
171.001,0,21888.100,0,06-05 23:06:38
198.994,0,25471.214,0,06-05 23:06:39
97.003,0,12416.385,0,06-05 23:06:40
187.999,0,24063.853,0,06-05 23:06:41
170.995,1.000,21887.345,4.000,06-05 23:06:42
171.004,0,21888.457,0,06-05 23:06:43
182.998,0,23423.748,0,06-05 23:06:44
158.003,0,20224.352,0,06-05 23:06:45
142.996,0,18303.532,0,06-05 23:06:46
200.005,0,25600.625,0,06-05 23:06:47
199.998,0,25599.712,0,06-05 23:06:48
227.003,0,29056.445,0,06-05 23:06:49
57.001,0,7296.178,0,06-05 23:06:50
170.993,0,21887.052,0,06-05 23:06:51
200.005,0,25600.623,0,06-05 23:06:52
227.752,0.999,29152.220,3.996,06-05 23:06:53
201.217,2.002,25755.740,12.013,06-05 23:06:54
94.991,0,12158.871,0,06-05 23:06:55
189.012,0,24065.506,0,06-05 23:06:56
202.007,0,25856.885,0,06-05 23:06:57
207.997,0,26623.662,0,06-05 23:06:58
130.996,1.000,16767.542,4.000,06-05 23:06:59
170.999,0,21887.825,0,06-05 23:07:00
172.010,0,22017.216,0,06-05 23:07:01
141.997,0,18175.561,0,06-05 23:07:02
171.004,0,21888.486,0,06-05 23:07:03
141.252,0,18080.248,0,06-05 23:07:04
227.208,0,29082.573,0,06-05 23:07:05
172.999,0,22143.823,0,06-05 23:07:06
