"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out46/dstat_out_wf.csv -D vdb",,,,"Date:","07 May 2024 22:30:52 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,07-05 22:30:52
3.996,14.985,139.863,87.914,07-05 22:30:53
369.980,0,9279.494,0,07-05 22:30:54
548.006,0,15312.175,0,07-05 22:30:55
512.997,0,32955.787,0,07-05 22:30:56
605.014,0,47745.096,0,07-05 22:30:57
511.995,7.000,75879.323,423.996,07-05 22:30:58
452.979,0,71484.728,0,07-05 22:30:59
403.019,0,69367.229,0,07-05 22:31:00
379.053,0,80339.159,0,07-05 22:31:01
405.921,0,82823.891,0,07-05 22:31:02
231.660,12.981,44997.921,127.812,07-05 22:31:03
439.772,2.004,56290.781,28.049,07-05 22:31:04
408.013,0,52225.653,0,07-05 22:31:05
124.999,0,15999.872,0,07-05 22:31:06
169.992,0,21759.022,0,07-05 22:31:07
200.011,0,25601.438,0,07-05 22:31:08
169.999,3.000,21759.865,20.000,07-05 22:31:09
198.985,0,25470.141,0,07-05 22:31:10
142.007,0,18176.878,0,07-05 22:31:11
141.988,0,18174.484,0,07-05 22:31:12
199.019,0,25474.457,0,07-05 22:31:13
181.000,0,23168.046,0,07-05 22:31:14
159.999,0,20479.890,0,07-05 22:31:15
141.991,0,18174.788,0,07-05 22:31:16
202.021,0,25858.695,0,07-05 22:31:17
167.998,0,21503.793,0,07-05 22:31:18
197.996,0,25343.494,0,07-05 22:31:19
171.003,0,21888.443,0,07-05 22:31:20
200.001,0,25476.142,0,07-05 22:31:21
153.996,0,19711.541,0,07-05 22:31:22
210.999,0,26879.915,0,07-05 22:31:23
180.001,0,23040.152,0,07-05 22:31:24
138.000,0,17664.002,0,07-05 22:31:25
198.999,3.000,25471.842,16.000,07-05 22:31:26
113.000,0,14463.963,0,07-05 22:31:27
