"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out5/dstat_out_upload.csv -D vdb",,,,"Date:","15 Apr 2024 11:41:59 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,15-04 11:41:59
0,1.998,0,7.993,15-04 11:42:00
0,0,0,0,15-04 11:42:01
0,0,0,0,15-04 11:42:02
0,0,0,0,15-04 11:42:03
0,6.001,0,236.023,15-04 11:42:04
1.001,2.002,4.004,12.012,15-04 11:42:05
1.998,323.692,7.992,319851.269,15-04 11:42:06
0,212.001,0,980.004,15-04 11:42:07
0,0,0,0,15-04 11:42:08
0,5.005,0,88.095,15-04 11:42:09
0,0,0,0,15-04 11:42:10
5.000,271.016,20.001,273423.986,15-04 11:42:11
3.003,480.456,12.011,488002.986,15-04 11:42:12
0,399.586,0,403945.273,15-04 11:42:13
0,13.014,0,76.081,15-04 11:42:14
0,0,0,0,15-04 11:42:15
0,0,0,0,15-04 11:42:16
0,0,0,0,15-04 11:42:17
5.001,191.031,20.003,194591.803,15-04 11:42:18
0,325.951,0,316544.863,15-04 11:42:19
0,0,0,0,15-04 11:42:20
0,0,0,0,15-04 11:42:21
2.000,152.026,8.001,152601.599,15-04 11:42:22
0,180.998,0,183294.148,15-04 11:42:23
4.000,371.994,16.000,371697.985,15-04 11:42:24
5.000,496.039,20.002,503915.413,15-04 11:42:25
1.000,501.966,4.000,510945.277,15-04 11:42:26
0,64.001,0,65536.541,15-04 11:42:27
0,0,0,0,15-04 11:42:28
0,5.000,0,60.002,15-04 11:42:29
0,0,0,0,15-04 11:42:30
4.000,77.998,16.000,79870.279,15-04 11:42:31
0,438.992,0,441095.943,15-04 11:42:32
0,0,0,0,15-04 11:42:33
0,5.000,0,40.001,15-04 11:42:34
2.000,242.989,8.000,246057.345,15-04 11:42:35
0,97.005,0,98000.631,15-04 11:42:36
2.000,169.998,8.000,169265.920,15-04 11:42:37
4.004,387.394,16.016,392591.097,15-04 11:42:38
1.998,437.562,7.992,444994.215,15-04 11:42:39
1.001,377.366,4.004,383439.738,15-04 11:42:40
0,60.005,0,59400.773,15-04 11:42:41
0,0,0,0,15-04 11:42:42
0,0,0,0,15-04 11:42:43
0,6.006,0,32.032,15-04 11:42:44
2.998,4.997,11.994,3070.402,15-04 11:42:45
0,364.825,0,367499.298,15-04 11:42:46
0,107.997,0,109565.269,15-04 11:42:47
0,0,0,0,15-04 11:42:48
0.999,155.833,3.996,159573.070,15-04 11:42:49
0,192.203,0,192775.612,15-04 11:42:50
0.999,206.836,3.997,211799.973,15-04 11:42:51
1.999,400.899,7.998,407449.109,15-04 11:42:52
0,511.021,0,522261.132,15-04 11:42:53
0,273.993,0,268356.998,15-04 11:42:54
0,6.000,0,92.004,15-04 11:42:55
0,0,0,0,15-04 11:42:56
0,0,0,0,15-04 11:42:57
0,0,0,0,15-04 11:42:58
0,55.002,0,55298.072,15-04 11:42:59
0,302.987,0,305171.036,15-04 11:43:00
0,0,0,0,15-04 11:43:01
0,360.017,0,360465.417,15-04 11:43:02
0,0,0,0,15-04 11:43:03
0,385.349,0,393572.609,15-04 11:43:04
0,525.436,0,534977.700,15-04 11:43:05
0,362.017,0,366700.884,15-04 11:43:06
0,0,0,0,15-04 11:43:07
0,0,0,0,15-04 11:43:08
0,3.996,0,19.980,15-04 11:43:09
0,0,0,0,15-04 11:43:10
0,0,0,0,15-04 11:43:11
0,157.003,0,151626.892,15-04 11:43:12
0,214.205,0,217295.643,15-04 11:43:13
0,193.813,0,198464.181,15-04 11:43:14
0,580.066,0,569465.007,15-04 11:43:15
0,479.934,0,464835.889,15-04 11:43:16
0,90.001,0,89088.785,15-04 11:43:17
0,0,0,0,15-04 11:43:18
0,6.000,0,56.002,15-04 11:43:19
0,0,0,0,15-04 11:43:20
0,0,0,0,15-04 11:43:21
0,150.994,0,152569.792,15-04 11:43:22
0,197.020,0,199699.921,15-04 11:43:23
0,159.989,0,163828.734,15-04 11:43:24
0,187.009,0,188472.631,15-04 11:43:25
0,65.000,0,66560.467,15-04 11:43:26
0,544.003,0,553599.405,15-04 11:43:27
0,551.000,0,558459.534,15-04 11:43:28
0,132.132,0,122054.279,15-04 11:43:29
0,0,0,0,15-04 11:43:30
0,0,0,0,15-04 11:43:31
0,0,0,0,15-04 11:43:32
0,150.148,0,145551.330,15-04 11:43:33
0,214.788,0,206683.635,15-04 11:43:34
0,294.019,0,300050.883,15-04 11:43:35
0,50.995,0,52219.286,15-04 11:43:36
0,345.965,0,352220.157,15-04 11:43:37
0,18.021,0,18453.022,15-04 11:43:38
0,527.478,0,533999.091,15-04 11:43:39
0,543.986,0,548849.395,15-04 11:43:40
0,210.987,0,203851.155,15-04 11:43:41
0,11.001,0,196.012,15-04 11:43:42
0,0,0,0,15-04 11:43:43
0,3.000,0,20.000,15-04 11:43:44
0,0,0,0,15-04 11:43:45
0,0,0,0,15-04 11:43:46
0,210.004,0,206468.245,15-04 11:43:47
0,156.101,0,155108.747,15-04 11:43:48
0,316.793,0,310160.874,15-04 11:43:49
0,167.165,0,171177.439,15-04 11:43:50
0,574.857,0,578476.345,15-04 11:43:51
0,518.612,0,517268.606,15-04 11:43:52
117.002,43.001,16364.276,41388.698,15-04 11:43:53
565.005,4.000,73708.691,92.001,15-04 11:43:54
1296.731,0,165129.036,0,15-04 11:43:55
1264.257,0,161141.325,0,15-04 11:43:56
1378.394,0,176143.032,0,15-04 11:43:57
701.029,156.453,87557.439,157126.810,15-04 11:43:58
177.824,393.610,22122.089,388351.359,15-04 11:43:59
45.086,271.494,2034.737,265821.333,15-04 11:44:00
8.141,459.951,77.337,459153.683,15-04 11:44:01
2.006,509.480,148.431,502082.912,15-04 11:44:02
18.002,528.048,1036.095,528432.284,15-04 11:44:03
53.997,125.994,2331.889,109290.790,15-04 11:44:04
0,125.006,0,96508.512,15-04 11:44:05
34.999,366.993,3543.930,359532.890,15-04 11:44:06
0,511.992,0,510083.605,15-04 11:44:07
3.000,364.022,164.010,356365.643,15-04 11:44:08
73.999,338.995,5759.919,326227.424,15-04 11:44:09
1.000,0,4.000,0,15-04 11:44:10
40.041,260.267,4488.610,260107.146,15-04 11:44:11
7.992,479.503,807.163,483850.296,15-04 11:44:12
1.000,528.012,128.003,525324.237,15-04 11:44:13
44.999,438.988,4319.883,428612.362,15-04 11:44:14
62.999,7.000,7703.882,111.998,15-04 11:44:15
110.005,148.007,13016.623,145798.979,15-04 11:44:16
8.000,433.992,611.988,440115.649,15-04 11:44:17
2.000,508.959,255.979,518298.089,15-04 11:44:18
133.006,487.021,16576.698,482932.337,15-04 11:44:19
156.154,121.120,19251.024,112483.156,15-04 11:44:20
382.625,0,47529.395,0,15-04 11:44:21
382.008,0,47981.036,0,15-04 11:44:22
279.001,267.001,35164.189,267393.433,15-04 11:44:23
347.968,393.964,44395.945,399323.525,15-04 11:44:24
894.087,84.008,113371.071,70674.902,15-04 11:44:25
819.032,337.013,104356.058,319220.413,15-04 11:44:26
1341.946,52.998,171769.151,49430.029,15-04 11:44:27
729.906,171.978,93299.988,169578.167,15-04 11:44:28
4.004,466.521,512.573,457215.044,15-04 11:44:29
0,541.417,0,541113.233,15-04 11:44:30
1232.040,88.003,157573.158,83666.739,15-04 11:44:31
1365.015,0,174593.982,0,15-04 11:44:32
1271.915,0,162549.193,0,15-04 11:44:33
1279.259,5.005,163745.191,20.020,15-04 11:44:34
1325.786,0,169444.905,0,15-04 11:44:35
1371.011,6.000,175361.344,68.001,15-04 11:44:36
1357.996,0,173655.454,0,15-04 11:44:37
949.013,114.002,121473.630,109953.475,15-04 11:44:38
1191.941,242.988,152312.411,242339.926,15-04 11:44:39
1169.019,0,149634.411,0,15-04 11:44:40
36.001,426.009,4608.095,416396.569,15-04 11:44:41
0,517.027,0,501142.234,15-04 11:44:42
1105.938,340.981,141304.020,335213.069,15-04 11:44:43
1335.987,7.000,171006.289,67.999,15-04 11:44:44
1287.065,6.000,164488.255,72.004,15-04 11:44:45
1239.007,0,158300.955,0,15-04 11:44:46
1226.999,0,156927.811,0,15-04 11:44:47
1093.997,0,139903.648,0,15-04 11:44:48
1321.892,3.000,169074.167,11.999,15-04 11:44:49
1176.092,8.001,150411.779,6528.511,15-04 11:44:50
902.933,330.341,115575.390,328283.118,15-04 11:44:51
1350.588,18.980,172619.527,17765.426,15-04 11:44:52
499.510,225.230,63937.219,225125.640,15-04 11:44:53
0,575.414,0,555306.895,15-04 11:44:54
348.979,480.971,44669.317,470611.734,15-04 11:44:55
1338.941,0,171128.461,0,15-04 11:44:56
1162.140,0,148753.862,0,15-04 11:44:57
1382.973,0,176812.603,0,15-04 11:44:58
1380.017,3.000,176594.142,20.000,15-04 11:44:59
1246.026,0,159363.345,0,15-04 11:45:00
1310.935,8.000,167543.681,67.997,15-04 11:45:01
1286.330,0,164522.069,0,15-04 11:45:02
798.185,203.792,102023.841,201394.390,15-04 11:45:03
1143.004,153.000,146304.478,150696.492,15-04 11:45:04
1165.979,14.000,149117.290,9983.819,15-04 11:45:05
4.000,415.011,388.011,394802.763,15-04 11:45:06
5.000,511.956,639.945,492797.298,15-04 11:45:07
1026.008,380.003,131200.981,358450.679,15-04 11:45:08
