"pcp-dstat 6.0.5 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","vnode-0.localdomain",,,,"User:","root"
"Cmdline:","dstat --disk-tps -d -t --noheaders -o /home/root/dstat_out31/dstat_out_upload.csv -D vdb",,,,"Date:","21 Apr 2024 08:35:11 UTC"
"dsk/vdb",,"dsk/vdb",,"system"
"dsk/vdb:#read","dsk/vdb:#writ","dsk/vdb:read","dsk/vdb:writ","time"
,,,,21-04 08:35:11
0,0.999,0,3.997,21-04 08:35:12
0,0,0,0,21-04 08:35:13
0,22.001,0,784.030,21-04 08:35:14
0,0,0,0,21-04 08:35:15
0,3.000,0,235.987,21-04 08:35:16
0,9.000,0,4436.018,21-04 08:35:17
0,84.999,0,82259.147,21-04 08:35:18
0,0,0,0,21-04 08:35:19
0,0,0,0,21-04 08:35:20
0,24.999,0,279.992,21-04 08:35:21
0,18.000,0,18431.626,21-04 08:35:22
2.000,442.015,8.000,450583.757,21-04 08:35:23
2.002,413.378,8.007,424059.937,21-04 08:35:24
1.998,449.593,7.993,479054.347,21-04 08:35:25
0,347.980,0,394304.907,21-04 08:35:26
0,0,0,0,21-04 08:35:27
0,0,0,0,21-04 08:35:28
0,0,0,0,21-04 08:35:29
0,0,0,0,21-04 08:35:30
0,2.000,0,28.000,21-04 08:35:31
0,7.000,0,79.996,21-04 08:35:32
1.000,121.008,4.000,140041.262,21-04 08:35:33
1.000,111.002,4.000,126210.409,21-04 08:35:34
1.000,287.010,4.000,335883.379,21-04 08:35:35
0,97.998,0,111673.443,21-04 08:35:36
0,476.007,0,548871.635,21-04 08:35:37
0,89.996,0,103419.128,21-04 08:35:38
0,0,0,0,21-04 08:35:39
0,16.014,0,18961.155,21-04 08:35:40
0,400.630,0,458967.774,21-04 08:35:41
0,420.042,0,491568.779,21-04 08:35:42
2.000,292.984,8.000,343021.010,21-04 08:35:43
0,0,0,0,21-04 08:35:44
0,0,0,0,21-04 08:35:45
0,2.000,0,72.001,21-04 08:35:46
0,0,0,0,21-04 08:35:47
2.001,301.089,8.002,352871.976,21-04 08:35:48
0,101.056,0,118338.039,21-04 08:35:49
2.000,136.000,8.000,158976.190,21-04 08:35:50
3.997,436.624,15.986,504493.527,21-04 08:35:51
1.000,131.997,4.000,153340.527,21-04 08:35:52
0,0,0,0,21-04 08:35:53
0,355.309,0,416105.922,21-04 08:35:54
0,394.671,0,460927.874,21-04 08:35:55
0,132.992,0,142615.628,21-04 08:35:56
1.000,105.999,4.000,122878.367,21-04 08:35:57
0,0,0,0,21-04 08:35:58
0,0,0,0,21-04 08:35:59
0,0,0,0,21-04 08:36:00
0.999,146.879,3.997,168988.351,21-04 08:36:01
2.002,296.243,8.007,343181.605,21-04 08:36:02
0,0,0,0,21-04 08:36:03
3.002,207.172,12.010,241864.878,21-04 08:36:04
3.000,403.946,11.998,469952.609,21-04 08:36:05
0,43.973,0,49193.914,21-04 08:36:06
0,209.996,0,239923.619,21-04 08:36:07
0,465.004,0,539280.531,21-04 08:36:08
0,225.179,0,251592.238,21-04 08:36:09
0,0,0,0,21-04 08:36:10
1.000,121.004,4.000,139340.139,21-04 08:36:11
0,0,0,0,21-04 08:36:12
0,0,0,0,21-04 08:36:13
0,54.007,0,56071.744,21-04 08:36:14
